2026-07-05 15:09:55 | DEBUG    | scraper | Scroll  2: height=1472 consecutive_same=0
2026-07-05 15:09:57 | DEBUG    | scraper | Scroll  3: height=1472 consecutive_same=1
2026-07-05 15:09:59 | DEBUG    | scraper | Scroll  4: height=1472 consecutive_same=2
2026-07-05 15:10:01 | DEBUG    | scraper | Scroll  5: height=1472 consecutive_same=3
2026-07-05 15:10:03 | DEBUG    | scraper | Scroll  6: height=1472 consecutive_same=4
2026-07-05 15:10:03 | DEBUG    | scraper | Scroll finished after 6 steps (stalled).
2026-07-05 15:10:06 | DEBUG    | scraper | Found 0 video tiles.
2026-07-05 15:10:06 | INFO     | scraper | Profile scraped: @emilyfluri | followers=12.1K | tiles=0
2026-07-05 15:10:06 | INFO     | utils | Data saved to C:\Users\wess\Desktop\python get data\output\profile_emilyfluri.json
2026-07-05 15:10:06 | INFO     | scraper | TikTokScraper stopped.
2026-07-05 15:13:26 | INFO     | scraper | Starting TikTokScraper …
2026-07-05 15:13:26 | INFO     | scraper | Browser context created.
2026-07-05 15:18:08 | INFO     | scraper | Starting TikTokScraper …
2026-07-05 15:18:09 | INFO     | scraper | Browser context created.
2026-07-05 15:18:09 | INFO     | scraper | Scraping profile: https://www.tiktok.com/@emilyfluri
2026-07-05 15:18:09 | DEBUG    | scraper | Navigating to https://www.tiktok.com/@emilyfluri
2026-07-05 15:18:12 | INFO     | scraper | Waiting 10 s for manual CAPTCHA solving …
2026-07-05 15:18:34 | DEBUG    | scraper | Videos tab already active.
2026-07-05 15:19:18 | DEBUG    | scraper | Found 339 video tiles.
2026-07-05 15:19:30 | INFO     | scraper | Profile scraped: @emilyfluri — 12.1K followers, 339 video tiles.
2026-07-05 15:19:30 | INFO     | utils | Data saved to C:\Users\wess\Desktop\python get data\output\profile_emilyfluri.json
2026-07-05 15:19:31 | INFO     | scraper | TikTokScraper stopped.
2026-07-05 15:27:42 | INFO     | scraper | Starting TikTokScraper …
2026-07-05 15:27:43 | INFO     | scraper | Browser context created.
2026-07-05 15:27:43 | INFO     | scraper | Scraping profile: https://www.tiktok.com/@iam_notkira
2026-07-05 15:27:43 | DEBUG    | scraper | Navigating to https://www.tiktok.com/@iam_notkira
2026-07-05 15:27:45 | INFO     | scraper | Waiting 10 s for manual CAPTCHA solving …
2026-07-05 15:28:08 | DEBUG    | scraper | Videos tab already active.
2026-07-05 15:28:47 | DEBUG    | scraper | Scroll finished after 19 steps.
2026-07-05 15:28:50 | DEBUG    | scraper | Found 208 video tiles.
2026-07-05 15:28:55 | INFO     | scraper | Profile scraped: @iam_notkira — 48.5K followers, 208 video tiles.
2026-07-05 15:28:55 | INFO     | utils | Data saved to C:\Users\wess\Desktop\python get data\output\profile_iam_notkira.json
2026-07-05 15:28:56 | INFO     | scraper | TikTokScraper stopped.
2026-07-05 16:54:24 | INFO     | scraper | Starting TikTokScraper …
2026-07-05 16:54:25 | INFO     | scraper | Browser context created.
2026-07-05 16:54:25 | INFO     | scraper | Scraping video: https://www.tiktok.com/@iam_notkira/video/7656966967823289630
2026-07-05 16:54:26 | DEBUG    | scraper | Navigating to https://www.tiktok.com/@iam_notkira/video/7656966967823289630
